time;since1970;cpuT;netIo
39;1649756897.8715308;9.6;snetio(bytes_sent=9036072, bytes_recv=195980786, packets_sent=40691, packets_recv=157550, errin=0, errout=0, dropin=0, dropout=0)
40;1649756898.8740208;1.5;snetio(bytes_sent=9036280, bytes_recv=195980994, packets_sent=40695, packets_recv=157554, errin=0, errout=0, dropin=0, dropout=0)
41;1649756899.8854706;1.7;snetio(bytes_sent=9036488, bytes_recv=195981202, packets_sent=40699, packets_recv=157558, errin=0, errout=0, dropin=0, dropout=0)
42;1649756900.8975363;2.0;snetio(bytes_sent=9036548, bytes_recv=195981262, packets_sent=40700, packets_recv=157559, errin=0, errout=0, dropin=0, dropout=0)
43;1649756901.9010494;3.3;snetio(bytes_sent=9036756, bytes_recv=195981470, packets_sent=40704, packets_recv=157563, errin=0, errout=0, dropin=0, dropout=0)
44;1649756902.9040911;1.8;snetio(bytes_sent=9036964, bytes_recv=195981678, packets_sent=40708, packets_recv=157567, errin=0, errout=0, dropin=0, dropout=0)
45;1649756903.906878;1.8;snetio(bytes_sent=9036964, bytes_recv=195981678, packets_sent=40708, packets_recv=157567, errin=0, errout=0, dropin=0, dropout=0)
46;1649756904.9092546;2.0;snetio(bytes_sent=9037232, bytes_recv=195981946, packets_sent=40713, packets_recv=157572, errin=0, errout=0, dropin=0, dropout=0)
47;1649756905.9127493;10.1;snetio(bytes_sent=9037232, bytes_recv=195981946, packets_sent=40713, packets_recv=157572, errin=0, errout=0, dropin=0, dropout=0)
48;1649756906.9153519;1.3;snetio(bytes_sent=9037440, bytes_recv=195982154, packets_sent=40717, packets_recv=157576, errin=0, errout=0, dropin=0, dropout=0)
49;1649756907.9229827;2.0;snetio(bytes_sent=9037648, bytes_recv=195982362, packets_sent=40721, packets_recv=157580, errin=0, errout=0, dropin=0, dropout=0)
50;1649756908.928816;27.2;snetio(bytes_sent=9037648, bytes_recv=195982362, packets_sent=40721, packets_recv=157580, errin=0, errout=0, dropin=0, dropout=0)
51;1649756909.932491;33.8;snetio(bytes_sent=9037856, bytes_recv=195982570, packets_sent=40725, packets_recv=157584, errin=0, errout=0, dropin=0, dropout=0)
52;1649756910.93798;23.7;snetio(bytes_sent=9038064, bytes_recv=195982778, packets_sent=40729, packets_recv=157588, errin=0, errout=0, dropin=0, dropout=0)
53;1649756911.9404738;28.6;snetio(bytes_sent=9038064, bytes_recv=195982778, packets_sent=40729, packets_recv=157588, errin=0, errout=0, dropin=0, dropout=0)
54;1649756912.9445064;38.9;snetio(bytes_sent=9038332, bytes_recv=195983046, packets_sent=40734, packets_recv=157593, errin=0, errout=0, dropin=0, dropout=0)
55;1649756913.9486113;38.7;snetio(bytes_sent=9038540, bytes_recv=195983254, packets_sent=40738, packets_recv=157597, errin=0, errout=0, dropin=0, dropout=0)
56;1649756914.951425;42.9;snetio(bytes_sent=9038540, bytes_recv=195983254, packets_sent=40738, packets_recv=157597, errin=0, errout=0, dropin=0, dropout=0)
57;1649756915.9544988;26.9;snetio(bytes_sent=9038748, bytes_recv=195983462, packets_sent=40742, packets_recv=157601, errin=0, errout=0, dropin=0, dropout=0)
58;1649756916.9583392;17.8;snetio(bytes_sent=9038956, bytes_recv=195983670, packets_sent=40746, packets_recv=157605, errin=0, errout=0, dropin=0, dropout=0)
59;1649756917.9623897;27.9;snetio(bytes_sent=9038956, bytes_recv=195983670, packets_sent=40746, packets_recv=157605, errin=0, errout=0, dropin=0, dropout=0)
